Society_Name,Locality,Price,Average Price,BHK Type,Area,Possession Status
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
Kedias Umang,"Kedias Umang, Sirsi Road Jaipur",₹95 Lac,"₹7,437 per sqft","3 BHK Villa for Sale in Kedias Umang, Sirsi Road Jaipur",142 sqyrd,Poss. by Oct '25
Chordias Gulmohar Heights,"Chordias Gulmohar Heights, Vaishali Nagar, Jaipur",₹1.03 Cr,"₹4,600 per sqft",4 BHK,2240 sqft,Poss. by Apr '28
Bhavyaa Green Grandeur,"Bhavyaa Green Grandeur, Jagatpura, Jaipur",₹1 Cr,"₹5,602 per sqft",3 BHK,1785 sqft,Poss. by Oct '30
Park Infinia,"Park Infinia, Raja Park, Jaipur",₹1.81 Cr,"₹8,200 per sqft",4 BHK,2214 sqft,Poss. by Dec '24
Imperial Ville,"Imperial Ville, Gandhi Path Jaipur",₹1.37 Cr,"₹5,480 per sqft","4 BHK Villa for Sale in Imperial Ville, Gandhi Path Jaipur",2503 sqft,Poss. by Dec '25
Ruheen Shree,"Ruheen Shree, Jagatpura, Jaipur",₹79.4 Lac,"₹4,125 per sqft",3 BHK,1925 sqft,Poss. by Mar '25
Imperial Utsav,"Imperial Utsav, Sikar Road, Jaipur",₹50.7 Lac,"₹4,049 per sqft",2 BHK,1253 sqft,Poss. by Jun '26
Shri Balaji Heights I,"Shri Balaji Heights I, Jhotwara, Jaipur",₹46.6 Lac,"₹3,874 per sqft",3 BHK,1203 sqft,Ready to Move
The Grand Arch II,"The Grand Arch II, Vaishali Nagar, Jaipur",₹69 Lac,"₹4,095 per sqft",4 BHK,1686 sqft,Ready to Move
Ashiana Umang,"Ashiana Umang, Ajmer Road, Jaipur",₹55.9 Lac,"₹4,620 per sqft",2 BHK,1209 sqft,Ready to Move
Kedia Sezasthan,"Kedia Sezasthan, Ajmer Road, Jaipur",₹59.4 Lac,"₹4,400 per sqft",2 BHK,1350 sqft,Poss. by Dec '25
Parth Crown,"Parth Crown, Nirman Nagar, Jaipur",₹1.72 Cr,"₹8,000 per sqft",4 BHK,2160 sqft,Poss. by Oct '24
Manglam Aananda,"Manglam Aananda, Mansarovar, Jaipur",₹93.3 Lac,"₹5,000 per sqft",3 BHK,1865 sqft,Poss. by Dec '24
Virat Krishnav,"Virat Krishnav, Vaishali Nagar, Jaipur",₹65.5 Lac,"₹5,150 per sqft",2 BHK,1272 sqft,Poss. by Mar '25
SHRI BD PRIME,"SHRI BD PRIME, Vaishali Nagar, Jaipur",₹1.50 Cr,"₹8,000 per sqft",3 BHK,1882 sqft,Ready to Move
The Palladium,"The Palladium, Jawahar Circle, Jaipur",₹1.51 Cr,"₹8,000 per sqft",3 BHK,1890 sqft,Poss. by May '29
